AT1G51370	1	19045615	19046748	FORWARD
AT1G50920	1	18870555	18872570	FORWARD
AT1G36960	1	14014796	14015508	FORWARD
AT1G44020	1	16716692	16718656	REVERSE
AT1G15970	1	5486544	5488494	REVERSE
AT1G73440	1	27611418	27612182	FORWARD
AT1G75120	1	28197022	28198656	REVERSE
AT1G17600	1	6053026	6056572	REVERSE
AT1G51380	1	19047960	19049967	FORWARD
AT1G77370	1	29073916	29074642	FORWARD
AT1G44090	1	16760677	16762486	REVERSE
AT1G10950	1	3659322	3663622	FORWARD
AT1G31870	1	11437269	11439821	FORWARD
AT1G51360	1	19044208	19044840	FORWARD
AT1G14940	1	5154775	5155512	REVERSE
AT1G50950	1	18880465	18884043	FORWARD
AT1G75110	1	28194348	28195885	REVERSE
AT1G17400	1	5960920	5962245	REVERSE
AT1G09420	1	3038640	3041715	REVERSE
AT1G50930	1	18876898	18877706	FORWARD
AT1G65960	1	24555868	24557253	FORWARD
AT1G09400	1	3033676	3034993	REVERSE
AT1G09415	1	3037910	3038248	REVERSE
AT1G74730	1	28078995	28079831	FORWARD
AT1G75100	1	28191108	28193769	REVERSE
AT1G75240	1	28241576	28242505	FORWARD
AT1G14920	1	5149414	5151015	FORWARD
AT1G65510	1	24359456	24359847	FORWARD
AT1G75250	1	28245073	28245453	REVERSE
AT1G54410	1	20310305	20310601	REVERSE
AT1G09410	1	3035443	3037560	FORWARD
AT1G54420	1	20311619	20312418	FORWARD
AT1G75090	1	28187647	28189612	REVERSE
AT1G36950	1	14009673	14010822	REVERSE
AT1G50940	1	18878038	18879939	REVERSE
AT1G21080	1	7378822	7380927	REVERSE
AT1G14930	1	5152465	5153035	REVERSE
AT1G65970	1	24557527	24558229	REVERSE
AT1G17410	1	5968627	5969444	REVERSE
AT1G31880	1	11447804	11450053	FORWARD
AT1G77320	1	29056740	29062710	FORWARD
AT1G77500	1	29121753	29124937	FORWARD
AT1G51320	1	19025642	19026769	FORWARD
AT1G10940	1	3656050	3658170	REVERSE
AT1G14990	1	5167354	5168151	REVERSE
AT1G74770	1	28089695	28094834	REVERSE
AT1G75080	1	28185709	28187063	FORWARD
AT1G14890	1	5137045	5137704	FORWARD
AT1G51330	1	19028841	19029844	REVERSE
AT1G80350	1	30205499	30208050	REVERSE
AT1G14900	1	5138665	5139353	REVERSE
AT1G15960	1	5482202	5485066	REVERSE
AT1G14980	1	5165930	5166654	REVERSE
AT1G14910	1	5139928	5143571	REVERSE
AT1G44100	1	16764651	16767223	REVERSE
AT1G15000	1	5168613	5169947	FORWARD
AT1G31850	1	11431165	11433443	FORWARD
AT1G79210	1	29796286	29798240	REVERSE
AT1G67160	1	25124819	25127098	REVERSE
AT1G20960	1	7302591	7309914	REVERSE
AT1G74780	1	28095916	28097912	FORWARD
AT1G65620	1	24400146	24400745	FORWARD
AT1G12680	1	4320123	4322269	REVERSE
AT1G74790	1	28098912	28101673	FORWARD
AT1G77510	1	29126742	29129433	FORWARD
AT1G43980	1	16687637	16689502	REVERSE
AT1G77300	1	29040936	29048810	REVERSE
AT1G80340	1	30200695	30202163	REVERSE
AT1G65985	1	24562578	24568470	REVERSE
AT1G51340	1	19032034	19034681	FORWARD
AT1G31860	1	11434250	11436530	REVERSE
AT1G73450	1	27613856	27618635	FORWARD
AT1G21070	1	7376148	7377810	REVERSE
AT1G51350	1	19035851	19038738	FORWARD
AT1G14950	1	5157588	5158144	REVERSE
AT1G09440	1	3045513	3047393	REVERSE
AT1G09390	1	3031264	3033415	FORWARD
AT1G22840	1	8079384	8080246	FORWARD
AT1G09430	1	3042135	3044978	FORWARD
AT1G44010	1	16714656	16715504	FORWARD
AT1G80360	1	30208736	30210643	REVERSE
AT1G74720	1	28075173	28078418	FORWARD
